activity_no;license_number;activity_name
2;ЛО-78-01-000094;Акушерство и гинекология
2;ЛО-78-01-000098;Акушерство и гинекология
2;ЛО-78-01-000108;Акушерство и гинекология
2;ЛО-78-01-000112;Акушерство и гинекология
2;ЛО-78-01-000113;Акушерство и гинекология
2;ЛО-78-01-000118;Акушерство и гинекология
2;ЛО-78-01-000119;Акушерство и гинекология
2;ЛО-78-01-000120;Акушерство и гинекология
2;ЛО-78-01-000123;Акушерство и гинекология
2;ЛО-78-01-000124;Акушерство и гинекология
2;ЛО-78-01-000136;Акушерство и гинекология
2;ЛО-78-01-000147;Акушерство и гинекология
2;ЛО-78-01-000163;Акушерство и гинекология
2;ЛО-78-01-000170;Акушерство и гинекология
2;ЛО-78-01-000171;Акушерство и гинекология
2;ЛО-78-01-000174;Акушерство и гинекология
2;ЛО-78-01-000187;Акушерство и гинекология
2;ЛО-78-01-000196;Акушерство и гинекология
2;ЛО-78-01-000207;Акушерство и гинекология
2;ЛО-78-01-000210;Акушерство и гинекология
2;ЛО-78-01-000227;Акушерство и гинекология
2;ЛО-78-01-000251;Акушерство и гинекология
2;ЛО-78-01-000252;Акушерство и гинекология
2;ЛО-78-01-000260;Акушерство и гинекология
2;ЛО-78-01-000266;Акушерство и гинекология
2;ЛО-78-01-000269;Акушерство и гинекология
2;ЛО-78-01-000282;Акушерство и гинекология
2;ЛО-78-01-000289;Акушерство и гинекология
2;ЛО-78-01-000299;Акушерство и гинекология
2;ЛО-78-01-000302;Акушерство и гинекология
2;ЛО-78-01-000303;Акушерство и гинекология
2;ЛО-78-01-000308;Акушерство и гинекология
2;ЛО-78-01-000317;Акушерство и гинекология
2;ЛО-78-01-000326;Акушерство и гинекология
2;ЛО-78-01-000339;Акушерство и гинекология
2;ЛО-78-01-000357;Акушерство и гинекология
2;ЛО-78-01-000360;Акушерство и гинекология
2;ЛО-78-01-000362;Акушерство и гинекология
2;ЛО-78-01-000363;Акушерство и гинекология
2;ЛО-78-01-000366;Акушерство и гинекология
2;ЛО-78-01-000371;Акушерство и гинекология
2;ЛО-78-01-000374;Акушерство и гинекология
2;ЛО-78-01-000389;Акушерство и гинекология
2;ЛО-78-01-000392;Акушерство и гинекология
2;ЛО-78-01-000423;Акушерство и гинекология
2;ЛО-78-01-000424;Акушерство и гинекология
2;ЛО-78-01-000426;Акушерство и гинекология
2;ЛО-78-01-000439;Акушерство и гинекология
2;ЛО-78-01-002182;Акушерство и гинекология
2;ЛО-78-01-002184;Акушерство и гинекология
2;ЛО-78-01-002190;Акушерство и гинекология
2;ЛО-78-01-002192;Акушерство и гинекология
2;ЛО-78-01-002193;Акушерство и гинекология
2;ЛО-78-01-002200;Акушерство и гинекология
2;ЛО-78-01-002201;Акушерство и гинекология
2;ЛО-78-01-002204;Акушерство и гинекология
2;ЛО-78-01-003870;Акушерство и гинекология
2;ЛО-78-01-003871;Акушерство и гинекология
2;ЛО-78-01-003877;Акушерство и гинекология
2;ЛО-78-01-003878;Акушерство и гинекология
2;ЛО-78-01-003888;Акушерство и гинекология
2;ЛО-78-01-003891;Акушерство и гинекология
2;ЛО-78-01-004151;Акушерство и гинекология
2;ЛО-78-01-004152;Акушерство и гинекология
2;ЛО-78-01-004156;Акушерство и гинекология
2;ЛО-78-01-004162;Акушерство и гинекология
2;ЛО-78-01-004164;Акушерство и гинекология
2;ЛО-78-01-004287;Акушерство и гинекология
2;ЛО-78-01-004288;Акушерство и гинекология
2;ЛО-78-01-004305;Акушерство и гинекология
2;ЛО-78-01-004308;Акушерство и гинекология
2;ЛО-78-01-004310;Акушерство и гинекология
2;ЛО-78-01-004311;Акушерство и гинекология
2;ЛО-78-01-004321;Акушерство и гинекология
2;ЛО-78-01-004327;Акушерство и гинекология
2;ЛО-78-01-004329;Акушерство и гинекология
2;ЛО-78-01-004337;Акушерство и гинекология
2;ЛО-78-01-004349;Акушерство и гинекология
2;ЛО-78-01-004354;Акушерство и гинекология
2;ЛО-78-01-004355;Акушерство и гинекология
2;ЛО-78-01-004358;Акушерство и гинекология
2;ЛО-78-01-004368;Акушерство и гинекология
2;ЛО-78-01-004369;Акушерство и гинекология
2;ЛО-78-01-004381;Акушерство и гинекология
2;ЛО-78-01-004382;Акушерство и гинекология
2;ЛО-78-01-004390;Акушерство и гинекология
2;ЛО-78-01-004392;Акушерство и гинекология
2;ЛО-78-01-004394;Акушерство и гинекология
2;ЛО-78-01-004409;Акушерство и гинекология
2;ЛО-78-01-004423;Акушерство и гинекология
2;ЛО-78-01-004424;Акушерство и гинекология
2;ЛО-78-01-004425;Акушерство и гинекология
2;ЛО-78-01-004432;Акушерство и гинекология
2;ЛО-78-01-004434;Акушерство и гинекология
2;ЛО-78-01-004455;Акушерство и гинекология
2;ЛО-78-01-004469;Акушерство и гинекология
2;ЛО-78-01-004471;Акушерство и гинекология
2;ЛО-78-01-004475;Акушерство и гинекология
2;ЛО-78-01-004478;Акушерство и гинекология
2;ЛО-78-01-004479;Акушерство и гинекология
2;ЛО-78-01-004484;Акушерство и гинекология
2;ЛО-78-01-004485;Акушерство и гинекология
2;ЛО-78-01-004490;Акушерство и гинекология
2;ЛО-78-01-004493;Акушерство и гинекология
2;ЛО-78-01-004494;Акушерство и гинекология
2;ЛО-78-01-004495;Акушерство и гинекология
2;ЛО-78-01-004498;Акушерство и гинекология
2;ЛО-78-01-004499;Акушерство и гинекология
2;ЛО-78-01-004500;Акушерство и гинекология
2;ЛО-78-01-004520;Акушерство и гинекология
2;ЛО-78-01-004523;Акушерство и гинекология
2;ЛО-78-01-004524;Акушерство и гинекология
2;ЛО-78-01-004531;Акушерство и гинекология
2;ЛО-78-01-004532;Акушерство и гинекология
2;ЛО-78-01-004559;Акушерство и гинекология
2;ЛО-78-01-004560;Акушерство и гинекология
2;ЛО-78-01-004561;Акушерство и гинекология
2;ЛО-78-01-004563;Акушерство и гинекология
2;ЛО-78-01-004564;Акушерство и гинекология
2;ЛО-78-01-004573;Акушерство и гинекология
2;ЛО-78-01-004574;Акушерство и гинекология
2;ЛО-78-01-004578;Акушерство и гинекология
2;ЛО-78-01-004582;Акушерство и гинекология
2;ЛО-78-01-004583;Акушерство и гинекология
2;ЛО-78-01-004589;Акушерство и гинекология
2;ЛО-78-01-004596;Акушерство и гинекология
2;ЛО-78-01-004601;Акушерство и гинекология
2;ЛО-78-01-004618;Акушерство и гинекология
2;ЛО-78-01-004626;Акушерство и гинекология
2;ЛО-78-01-004627;Акушерство и гинекология
2;ЛО-78-01-004628;Акушерство и гинекология
2;ЛО-78-01-004629;Акушерство и гинекология
2;ЛО-78-01-004651;Акушерство и гинекология
2;ЛО-78-01-004664;Акушерство и гинекология
2;ЛО-78-01-004670;Акушерство и гинекология
2;ЛО-78-01-004676;Акушерство и гинекология
2;ЛО-78-01-004694;Акушерство и гинекология
2;ЛО-78-01-004704;Акушерство и гинекология
2;ЛО-78-01-004705;Акушерство и гинекология
2;ЛО-78-01-004708;Акушерство и гинекология
2;ЛО-78-01-004710;Акушерство и гинекология
2;ЛО-78-01-004711;Акушерство и гинекология
2;ЛО-78-01-004731;Акушерство и гинекология
2;ЛО-78-01-004734;Акушерство и гинекология
2;ЛО-78-01-004744;Акушерство и гинекология
2;ЛО-78-01-004749;Акушерство и гинекология
2;ЛО-78-01-004753;Акушерство и гинекология
2;ЛО-78-01-004754;Акушерство и гинекология
2;ЛО-78-01-004756;Акушерство и гинекология
